Wall time,Step,Value
1535647932.195882,20051,7.690093994140625
1535648039.7555368,20131,5.367342948913574
1535648268.6261237,20301,5.479907989501953
1535648349.6772766,20361,6.471062183380127
1535648673.9313457,20601,8.0494966506958
1535648849.2358005,20731,4.980165004730225
1535648889.547541,20761,3.6608657836914062
1535648903.1601646,20771,5.430479049682617
1535648929.7832425,20791,4.591344356536865
1535648956.9065237,20811,5.810495853424072
1535649010.6452224,20851,3.5865590572357178
1535649065.144445,20891,4.875519275665283
1535649159.660807,20961,4.45206356048584
1535649363.5390444,21111,4.051440715789795
1535649823.47694,21451,6.21380090713501
1535649878.0256717,21491,5.33543586730957
1535649972.844455,21561,5.162413120269775
1535650093.467892,21651,6.035923480987549
1535650255.855795,21771,6.17282772064209
1535650391.0767398,21871,7.695399761199951
1535650418.3895164,21891,4.636650562286377
1535650445.4204078,21911,6.810571193695068
1535650459.5394547,21921,8.430476188659668
1535650513.3156471,21961,4.332468032836914
1535650553.2184389,21991,5.678271293640137
1535650660.9415932,22071,5.0712571144104
1535650714.497057,22111,4.578591346740723
1535650984.7013538,22311,5.4539618492126465
1535651052.4740047,22361,5.571092128753662
1535651066.6460154,22371,4.874693393707275
1535651093.718823,22391,4.213588714599609
1535651134.2833157,22421,5.115087509155273
1535651187.9058378,22461,4.503551483154297
1535651201.247506,22471,5.58666467666626
1535651296.2127018,22541,5.621448516845703
1535651336.2839644,22571,4.718720436096191
1535651403.2520812,22621,5.1255950927734375
1535651660.207998,22811,4.956296920776367
1535651796.210495,22911,4.798671245574951
1535651877.3686073,22971,7.810980319976807
1535651958.1514459,23031,3.9858450889587402
1535652012.3887064,23071,7.5758748054504395
1535652175.0895255,23191,3.2219576835632324
1535652188.383057,23201,4.243934631347656
1535652526.5823784,23451,4.4811320304870605
1535652647.426219,23541,3.9914920330047607
1535652877.089205,23711,5.882673263549805
1535653121.2180328,23891,6.664195537567139
1535653134.7506833,23901,5.412295818328857
1535653161.7729871,23921,5.812292575836182
1535653296.7363935,24021,5.991184234619141
1535653350.681778,24061,5.71835470199585
1535653756.282061,24361,5.2258782386779785
1535653864.4227304,24441,4.3781352043151855
1535653946.3299422,24501,4.2143449783325195
1535653959.6971254,24511,4.1954779624938965
1535653986.7195363,24531,4.762723922729492
1535654013.397972,24551,5.550179958343506
1535654081.6962209,24601,6.029407024383545
1535654419.5120542,24851,4.68914270401001
1535654432.9194105,24861,5.044799327850342
1535654568.5859263,24961,5.71994686126709
1535654595.7338915,24981,5.106258392333984
1535654663.4749465,25031,5.213937759399414
1535654852.575385,25171,4.717318534851074
